name,category,description,salary_range,skills_required,required_courses,top_colleges
Lawyer,Law,Represents and advises clients in legal matters.,"$80,000 - $250,000","Legal Knowledge, Negotiation, Advocacy","Law, Legal Studies","Harvard Law, NLSIU, Yale Law"
Pilot,Aviation,Operates and navigates airplanes and helicopters.,"$70,000 - $300,000","Flight Training, Navigation","Aviation, Aerospace Engineering","Emirates Aviation University, IIT Kanpur"
Astronomer,Science & Research,Studies celestial objects and phenomena in space.,"$60,000 - $180,000","Physics, Mathematics, Research","Astrophysics, Space Science","NASA, ISRO, Harvard"
Chef,Culinary Arts,Prepares and creates culinary dishes in restaurants and hotels.,"$30,000 - $100,000","Cooking, Food Presentation, Management","Culinary Arts, Hospitality","Le Cordon Bleu, Culinary Institute of America"
Veterinarian,Animal Care,Diagnoses and treats illnesses in animals.,"$60,000 - $180,000","Animal Biology, Surgery","Veterinary Medicine, Zoology","Cornell University, IVRI"
Psychologist,Mental Health,Studies human behavior and provides therapy.,"$50,000 - $150,000","Psychotherapy, Counseling, Research","Psychology, Neuroscience","Harvard, Stanford, NIMHANS"
Teacher,Education,Educates students in schools and universities.,"$40,000 - $100,000","Teaching, Communication, Subject Knowledge","Education, Teaching Certification","Harvard, IIT Bombay, Delhi University"
Financial Analyst,Finance,Evaluates financial data to help businesses make decisions.,"$60,000 - $180,000","Accounting, Financial Modeling","Finance, Economics","Wharton, IIMs, London Business School"
Marine Biologist,Environmental Science,Studies marine ecosystems and ocean life.,"$50,000 - $140,000","Ecology, Research, Diving","Marine Biology, Oceanography","Scripps, Woods Hole, IIT Kharagpur"
Robotics Engineer,Engineering,Develops and builds robotic systems for automation.,"$70,000 - $180,000","Mechatronics, AI, Programming","Robotics, Mechanical Engineering","MIT, IIT Madras, CMU"
Astronaut,Space Exploration,Trains and conducts research in space missions.,"$90,000 - $300,000","Astronaut Training, Engineering","Astronautics, Aerospace Engineering","NASA, ISRO, MIT"
Pharmacist,Healthcare,Dispenses medications and provides healthcare advice,"$80,000 - $130,000","Attention to detail, medical knowledge, communication","Pharmacy, Pharmacology","Johns Hopkins, Harvard"
Data Engineer,IT & Data Science,Designs and manages data pipelines for analytics,"$90,000 - $160,000","SQL, Python, Cloud, ETL","Data Science, Software Engineering","MIT, Stanford"
Cloud Architect,IT & Cloud Computing,Designs cloud infrastructure and solutions,"$100,000 - $180,000","AWS, Azure, DevOps, Networking","Cloud Computing, IT","Google Cloud Academy, AWS Training"
Astrophysicist,Science & Research,Studies celestial bodies and cosmic phenomena,"$80,000 - $140,000","Physics, Mathematics, Research","Physics, Astronomy","Harvard, Princeton"
Forensic Scientist,Law & Criminal Investigation,Analyzes crime scene evidence for investigations,"$60,000 - $110,000","Chemistry, Biology, Analytical Thinking","Forensic Science, Criminology","UC Berkeley, UCL"
Digital Marketer,Marketing,Promotes brands via digital channels,"$50,000 - $120,000","SEO, Analytics, Social Media","Digital Marketing, Business","Wharton, London Business School"
Music Producer,Entertainment,Oversees music recording and production,"$50,000 - $120,000","Sound Engineering, Mixing",Music Production,"Berklee, Juilliard"
